reading	hanri	priority	corrected
# implicit-tone-overrides (single Hangul-only hanri rows used when the typed form has no tone mark)			
주1ᄋᆤ	主要	1	
주2	煮	1	
주2	子	2	
주2	主	4	
주2댤5	註定	1	
주경호5	自強號	1	
주재5	自在	1	
준	俊	3	
준4	船	2	
준5	陣	1	
준준5	陣陣	1	
줴	最	2	
줴5	罪	5	
쥐	醉	2	
쥐2	水	1	
쥐2빵빵4	醉茫茫	1	
쥬1령5	酒量	1	
쥬2	酒	1	
쥬5후2	州府	1	
쥴5퍼2	漳浦	1	
지	志	1	
지1뭬5	姊妹	1	
지1뻬5	姊妹	1	
지2	姊	1	
진	震	2	
진1	真	1	
진2강1	晉江	1	
진2덩1	震東	1	
짇1	一	1	
짇강1	一工	1	
짇과2	一寡	1	
짇기1	一支	1	
짇기1	一枝	2	
짇댬2	一點	1	
짇딯	一滴	1	
짇ᄃᆤ4	一條	1	
짇띧1	一日	1	
짇밯1커1	一百箍	1	
짇붸1	一杯	1	
짇빤커1	一萬箍	1	
짇시4	一時	1	
짇에4	一个	1	
짇졍2	一種	1	
짇쳰5커1*	一千箍	1	짇촁5커1
짇촁5커1	一千箍	1	
질4	錢	1	
짖1에4	짖ˆ个	1	
짛1	舌	1	
ᄌᅷ1킈	走去	1	
ᄌᅷ2	走	1	
ᄌᆤ	照	1	
ᄌᆤ2	鳥	2	
ᄌᆤ2거	照顧	1	
ᄌᆤ2거	照顧	1	
ᄌᆤ2겅2	照講	1	
ᄌᆤ2키1강1	照起工	1	
차1궤1ᄃᆤ4	炒粿條	1	
차1븡5	炒飯	1	
차1삐1훈2	炒米粉	1	
차2	炒	2	
차2	吵	1	
차5슈1	叉燒	1	
찹	插	1	
채	菜	1	
채2치5	菜市	1	
채2ᄐᅷ궤2	菜頭粿	1	
챠1	車	1	
챠5잠5	車站	1	
챠5ᄐᅷ4	車頭	1	
챨2	請	1	
챻1챻	챻ˆ챻	1	
처	醋	2	
처1	粗	1	
처1	初	3	
처5러2	粗魯	1	
체1	叉	1	
첼1	青	1	
쳏	冊	1	
쳥1	沖	2	
쳥1	衝	1	
쳰1	千	1	
쳰5커1*	千箍	1	촁5커1
촁1	千	1	
촁1	清	1	
촁5	穿	1	
촁5	穿	1	
촁5초2	清楚	1	
촁5춘1	青春	1	
촁5칠2	清醒	1	
촁5커1	千箍	1	
촁5화4	清華	1	
촁살1	穿衫	1	
초	錯	1	
초	錯	1	
촤2추2강2	蔡厝港	1	
촨2	喘	1	
최1	初	1	
최5읻	初一	1	
최5읻1잡꺼5	初一十五	1	
쵸	笑	1	
쵸2영4	笑容	1	
추	厝	1	
춛	出	1	
춛1ᄏᅷ2	出口	1	
취	喙	1	
취2짛1	喙舌	1	
츄2	手	1	
츌	唱	1	
츌2과1	唱歌	1	
츼2	鼠	1	
치5	市	1	
치뎔2	市長	2	
치듈2	市長	1	
친1	親	1	
친2채2	친ˋ채ˋ	1	
친5애	親愛	1	
친5츌5	親像	1	
칟	七	1	
칟1밯	七百	1	
칟1잡1	七十	1	
칟1토4	칟ˆ토ˊ	1	
칟1훈1	七分	1	
칠1	青	1	
칠2’래	醒’래	1	
침1	深	1	
ᄎᅷ2	草	1	
ᄎᅷ2힐랑4	臭耳聾	1	
ᄎᆤ4	撨	1	
카1	跤	1	
카2믕4	敲門	1	
카5닿싣데5	跤踏實地	1	
카5닿챠1	跤踏車	1	
카5층1	尻川	1	
카5ᄐᅷ우1	跤頭趺	1	
카5ᄐᅷ후1	跤頭趺	1	
캬5	騎	1	
캬5	徛	1	
커1	箍	1	
커2	苦	1	
코	靠	1	
코1롄4	可憐	1	
코1비2	可比	1	
코1숗	可惜	1	
코1애	可愛	1	
코2	可	1	
콴2	款	1	
콸	看	1	
쾌	快	1	
쾌2럭1	快樂	1	
쿠1	軀	1	
쿠1	區	1	
쿤’킈	睏’킈	1	
퀴	氣	2	
퀼2왛1	快活	1	
킈	去	1	
키	氣	1	
키1ᄉᆤ2	起痟	1	
키2	起	1	
킨1	輕	1	
킨5샬1	輕聲	1	
킨5코2	輕可	1	
킨5킨1	輕輕	1	
ᄏᅷ	哭	1	
ᄏᅷ2	口	1	
ᄏᅷ2베5	哭爸	1	
ᄏᅷ2베ᄏᅷ2뿌2	哭爸哭母	1	
ᄏᅷ2뿌2	哭母	1	
탁1	讀	1	
탁주1	讀書	1	
탁쳏	讀冊	1	
탕1	通	1	
탕4	蟲	1	
태2걱	泰國	1	
태2걱1랑4	泰國人	1	
턀1	聽	1	
터	兔	1	
터	吐	2	
텅1	通	1	
테1꺔5	體驗	1	
테1령5	體諒	1	
테2	體	1	
토흥4	桃園	1	
툐1	挑	1	
툰1	吞	1	
틍1	湯	1	
틍4	糖	1	
틍5시4	湯匙	1	
틍감5삗딜1	糖甘蜜甜	1	
틸1	天	1	
틸5긍1	天光	1	
틸5셱	天色	1	
틸5키	天氣	1	
팋	鐵	1	
ᄐᅷ	透	2	
ᄐᅷ1	偷	3	
ᄐᅷ4	頭	1	
ᄐᅷ믕4	頭毛	1	
ᄐᅷ졩4	頭前	1	
ᄐᆤ	跳	1	
ᄐᆤ’롷킈	跳’롷킈	1	
ᄐᆤ5강1	挑工	1	
팧	拍	1	
팧1뱔	拍拚	1	
팧1승	拍算	1	
팰1걀2	歹囝	1	
팰1운5	歹運	1	
팰1콸	歹看	1	
팰2	歹	1	
퍼1텅1	普通	1	
퍼2	普	1	
폑1산1	碧山	1	
폔	騙	1	
폔2주2	騙子	1	
포1	波	1	
포5렁5	波浪	1	
표	票	1	
풰1	批	1	
풰4	皮	1	
풰후1	皮膚	1	
핀2	品	1	
필5	鼻	1	
필새2	鼻屎	1	
필캉1	鼻空	1	
